"Estacion","Fecha inicial","Fecha final","VViento","O3","DViento","PLiquida","HAire10","CO","NO2","P","PM2.5","SO2","PM10","RGlobal","TAire10"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-29","","1.575","49.70416667","167.72727273","0.44458333","73.28571429","790.94583333","12.1375","591.98333333","9.825","1.5125","19.91666667","343.13636364","18.39583333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-28","","1.625","58.36956522","136.02272727","0.07416667","72.9047619","778.0875","14.9","591.44166667","11.40833333","1.425","24.6375","301.31818182","19.27916667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-27","","1.14583333","58.7","157.5","0.0","74.52380952","811.30416667","13.075","590.74166667","11.75416667","1.2","20.67083333","280.54545455","19.24166667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-26","","1.2375","52.5125","115.56818182","0.0125","76.57142857","818.89583333","15.77222222","590.7125","11.725","1.4","21.1375","296.59090909","18.875"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-25","","1.31666667","52.75833333","111.47727273","0.35416667","78.42857143","756.19583333","15.0875","591.225","8.99166667","1.4","18.39166667","286.13636364","18.55416667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-24","","1.07083333","41.36956522","92.04545455","0.03333333","80.19047619","732.59130435","15.7375","591.175","8.08333333","1.61428571","17.83333333","194.59090909","17.97083333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-23","","0.4","43.70833333","141.13636364","0.0","76.47619048","732.75833333","20.99375","590.275","6.075","1.8375","15.67083333","189.77272727","17.85416667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-22","","1.2","42.0125","202.5","0.82541667","85.57142857","691.15833333","11.94375","589.7125","3.9875","1.225","9.67083333","160.0","17.15833333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-21","","0.49583333","39.21666667","177.85714286","1.18583333","90.28571429","761.76666667","11.28947368","589.37083333","5.92916667","1.125","11.16666667","95.36363636","17.39166667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-20","","0.57916667","39.79565217","167.14285714","0.12916667","82.85714286","883.4625","15.59473684","589.5","7.125","1.31428571","15.41666667","172.68181818","18.27916667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-19","","0.42916667","28.50833333","124.77272727","0.4125","86.42857143","923.40416667","16.50454545","589.82916667","7.38333333","1.275","15.69583333","146.72727273","18.0125"
